Day	Month	Appointment	Subspecialty
1	1	16	All
2	1	20	All
3	1	21	All
4	1	15	All
5	1	24	All
6	1	30	All
7	1	14	All
8	1	19	All
9	1	21	All
10	1	29	All
11	1	24	All
12	1	23	All
13	1	14	All
14	1	13	All
15	1	16	All
16	1	14	All
17	1	16	All
18	1	27	All
19	1	31	All
20	1	17	All
21	1	32	All
22	1	28	All
23	1	25	All
24	1	25	All
25	1	26	All
26	1	20	All
27	1	13	All
28	1	14	All
29	1	15	All
30	1	20	All
31	1	32	All
1	2	24	All
2	2	13	All
3	2	17	All
4	2	17	All
5	2	25	All
6	2	31	All
7	2	23	All
8	2	23	All
9	2	18	All
10	2	15	All
11	2	19	All
12	2	19	All
13	2	19	All
14	2	25	All
15	2	12	All
16	2	28	All
17	2	26	All
18	2	29	All
19	2	25	All
20	2	22	All
21	2	30	All
22	2	26	All
23	2	18	All
24	2	17	All
25	2	12	All
26	2	14	All
27	2	23	All
28	2	22	All
29	2	26	All
30	2	16	All
31	2	27	All
1	3	20	All
2	3	23	All
3	3	27	All
4	3	18	All
5	3	15	All
6	3	12	All
7	3	14	All
8	3	13	All
9	3	25	All
10	3	13	All
11	3	20	All
12	3	19	All
13	3	21	All
14	3	22	All
15	3	18	All
16	3	32	All
17	3	21	All
18	3	29	All
19	3	32	All
20	3	31	All
21	3	22	All
22	3	16	All
23	3	22	All
24	3	19	All
25	3	13	All
26	3	24	All
27	3	13	All
28	3	23	All
29	3	19	All
30	3	27	All
31	3	32	All
1	4	19	All
2	4	23	All
3	4	17	All
4	4	20	All
5	4	20	All
6	4	22	All
7	4	24	All
8	4	32	All
9	4	24	All
10	4	20	All
11	4	25	All
12	4	18	All
13	4	32	All
14	4	27	All
15	4	20	All
16	4	16	All
17	4	20	All
18	4	16	All
19	4	13	All
20	4	28	All
21	4	12	All
22	4	18	All
23	4	28	All
24	4	16	All
25	4	27	All
26	4	23	All
27	4	12	All
28	4	15	All
29	4	23	All
30	4	26	All
31	4	17	All
1	5	21	All
2	5	31	All
3	5	32	All
4	5	24	All
5	5	25	All
6	5	19	All
7	5	17	All
8	5	15	All
9	5	21	All
10	5	31	All
11	5	22	All
12	5	12	All
13	5	14	All
14	5	15	All
15	5	22	All
16	5	15	All
17	5	21	All
18	5	19	All
19	5	15	All
20	5	30	All
21	5	23	All
22	5	24	All
23	5	14	All
24	5	21	All
25	5	29	All
26	5	25	All
27	5	27	All
28	5	23	All
29	5	18	All
30	5	22	All
31	5	30	All
1	6	30	All
2	6	19	All
3	6	31	All
4	6	20	All
5	6	27	All
6	6	22	All
7	6	28	All
8	6	15	All
9	6	26	All
10	6	15	All
11	6	14	All
12	6	20	All
13	6	23	All
14	6	15	All
15	6	23	All
16	6	17	All
17	6	30	All
18	6	20	All
19	6	20	All
20	6	16	All
21	6	25	All
22	6	16	All
23	6	13	All
24	6	19	All
25	6	12	All
26	6	12	All
27	6	12	All
28	6	20	All
29	6	24	All
30	6	20	All
31	6	23	All
1	7	13	All
2	7	22	All
3	7	22	All
4	7	19	All
5	7	20	All
6	7	14	All
7	7	32	All
8	7	30	All
9	7	23	All
10	7	18	All
11	7	19	All
12	7	12	All
13	7	15	All
14	7	13	All
15	7	18	All
16	7	12	All
17	7	21	All
18	7	26	All
19	7	32	All
20	7	16	All
21	7	29	All
22	7	13	All
23	7	21	All
24	7	28	All
25	7	23	All
26	7	30	All
27	7	19	All
28	7	32	All
29	7	24	All
30	7	22	All
31	7	32	All
1	8	22	All
2	8	12	All
3	8	26	All
4	8	13	All
5	8	22	All
6	8	22	All
7	8	27	All
8	8	26	All
9	8	13	All
10	8	23	All
11	8	18	All
12	8	32	All
13	8	29	All
14	8	20	All
15	8	24	All
16	8	25	All
17	8	13	All
18	8	17	All
19	8	24	All
20	8	25	All
21	8	17	All
22	8	27	All
23	8	24	All
24	8	15	All
25	8	13	All
26	8	28	All
27	8	16	All
28	8	25	All
29	8	31	All
30	8	30	All
31	8	23	All
1	9	18	All
2	9	18	All
3	9	26	All
4	9	25	All
5	9	14	All
6	9	28	All
7	9	29	All
8	9	17	All
9	9	32	All
10	9	20	All
11	9	26	All
12	9	24	All
13	9	25	All
14	9	20	All
15	9	12	All
16	9	24	All
17	9	23	All
18	9	13	All
19	9	31	All
20	9	18	All
21	9	18	All
22	9	17	All
23	9	20	All
24	9	18	All
25	9	17	All
26	9	13	All
27	9	12	All
28	9	30	All
29	9	24	All
30	9	16	All
31	9	27	All
1	10	30	All
2	10	23	All
3	10	30	All
4	10	18	All
5	10	26	All
6	10	29	All
7	10	30	All
8	10	31	All
9	10	31	All
10	10	32	All
11	10	28	All
12	10	23	All
13	10	27	All
14	10	22	All
15	10	30	All
16	10	30	All
17	10	21	All
18	10	22	All
19	10	30	All
20	10	31	All
21	10	18	All
22	10	23	All
23	10	24	All
24	10	17	All
25	10	26	All
26	10	30	All
27	10	20	All
28	10	29	All
29	10	23	All
30	10	20	All
31	10	13	All
1	11	23	All
2	11	30	All
3	11	24	All
4	11	29	All
5	11	12	All
6	11	28	All
7	11	14	All
8	11	25	All
9	11	17	All
10	11	17	All
11	11	26	All
12	11	14	All
13	11	19	All
14	11	21	All
15	11	28	All
16	11	12	All
17	11	29	All
18	11	32	All
19	11	31	All
20	11	12	All
21	11	21	All
22	11	15	All
23	11	14	All
24	11	22	All
25	11	23	All
26	11	15	All
27	11	23	All
28	11	17	All
29	11	14	All
30	11	26	All
31	11	17	All
1	12	19	All
2	12	20	All
3	12	14	All
4	12	19	All
5	12	15	All
6	12	28	All
7	12	24	All
8	12	29	All
9	12	23	All
10	12	19	All
11	12	22	All
12	12	17	All
13	12	20	All
14	12	22	All
15	12	25	All
16	12	25	All
17	12	23	All
18	12	26	All
19	12	14	All
20	12	15	All
21	12	32	All
22	12	16	All
23	12	20	All
24	12	30	All
25	12	13	All
26	12	20	All
27	12	14	All
28	12	17	All
29	12	15	All
30	12	15	All
31	12	15	All
