Day	Month	Appointment	Subspecialty
1	1	4	Foot
2	1	3	Foot
3	1	5	Foot
4	1	3	Foot
5	1	6	Foot
6	1	4	Foot
7	1	8	Foot
8	1	4	Foot
9	1	5	Foot
10	1	3	Foot
11	1	7	Foot
12	1	5	Foot
13	1	8	Foot
14	1	8	Foot
15	1	6	Foot
16	1	6	Foot
17	1	4	Foot
18	1	6	Foot
19	1	5	Foot
20	1	6	Foot
21	1	3	Foot
22	1	6	Foot
23	1	7	Foot
24	1	6	Foot
25	1	6	Foot
26	1	6	Foot
27	1	8	Foot
28	1	3	Foot
29	1	7	Foot
30	1	8	Foot
31	1	6	Foot
1	2	4	Foot
2	2	7	Foot
3	2	4	Foot
4	2	6	Foot
5	2	3	Foot
6	2	8	Foot
7	2	4	Foot
8	2	6	Foot
9	2	8	Foot
10	2	8	Foot
11	2	4	Foot
12	2	7	Foot
13	2	8	Foot
14	2	6	Foot
15	2	5	Foot
16	2	5	Foot
17	2	3	Foot
18	2	4	Foot
19	2	3	Foot
20	2	4	Foot
21	2	6	Foot
22	2	4	Foot
23	2	5	Foot
24	2	3	Foot
25	2	7	Foot
26	2	8	Foot
27	2	6	Foot
28	2	6	Foot
29	2	6	Foot
30	2	3	Foot
31	2	3	Foot
1	3	6	Foot
2	3	8	Foot
3	3	5	Foot
4	3	3	Foot
5	3	7	Foot
6	3	5	Foot
7	3	3	Foot
8	3	7	Foot
9	3	8	Foot
10	3	8	Foot
11	3	8	Foot
12	3	8	Foot
13	3	3	Foot
14	3	4	Foot
15	3	7	Foot
16	3	5	Foot
17	3	5	Foot
18	3	6	Foot
19	3	3	Foot
20	3	5	Foot
21	3	6	Foot
22	3	5	Foot
23	3	7	Foot
24	3	5	Foot
25	3	4	Foot
26	3	6	Foot
27	3	7	Foot
28	3	4	Foot
29	3	6	Foot
30	3	8	Foot
31	3	7	Foot
1	4	3	Foot
2	4	6	Foot
3	4	7	Foot
4	4	7	Foot
5	4	7	Foot
6	4	8	Foot
7	4	8	Foot
8	4	8	Foot
9	4	7	Foot
10	4	6	Foot
11	4	7	Foot
12	4	7	Foot
13	4	4	Foot
14	4	6	Foot
15	4	6	Foot
16	4	5	Foot
17	4	8	Foot
18	4	5	Foot
19	4	7	Foot
20	4	6	Foot
21	4	3	Foot
22	4	5	Foot
23	4	3	Foot
24	4	6	Foot
25	4	3	Foot
26	4	4	Foot
27	4	3	Foot
28	4	3	Foot
29	4	7	Foot
30	4	7	Foot
31	4	8	Foot
1	5	6	Foot
2	5	7	Foot
3	5	6	Foot
4	5	7	Foot
5	5	7	Foot
6	5	4	Foot
7	5	3	Foot
8	5	6	Foot
9	5	3	Foot
10	5	4	Foot
11	5	7	Foot
12	5	7	Foot
13	5	5	Foot
14	5	8	Foot
15	5	4	Foot
16	5	7	Foot
17	5	5	Foot
18	5	4	Foot
19	5	6	Foot
20	5	5	Foot
21	5	5	Foot
22	5	5	Foot
23	5	5	Foot
24	5	7	Foot
25	5	4	Foot
26	5	3	Foot
27	5	3	Foot
28	5	3	Foot
29	5	3	Foot
30	5	4	Foot
31	5	4	Foot
1	6	5	Foot
2	6	6	Foot
3	6	4	Foot
4	6	8	Foot
5	6	8	Foot
6	6	3	Foot
7	6	5	Foot
8	6	3	Foot
9	6	5	Foot
10	6	8	Foot
11	6	4	Foot
12	6	7	Foot
13	6	4	Foot
14	6	3	Foot
15	6	3	Foot
16	6	3	Foot
17	6	7	Foot
18	6	8	Foot
19	6	7	Foot
20	6	4	Foot
21	6	4	Foot
22	6	5	Foot
23	6	6	Foot
24	6	6	Foot
25	6	4	Foot
26	6	4	Foot
27	6	6	Foot
28	6	8	Foot
29	6	8	Foot
30	6	4	Foot
31	6	7	Foot
1	7	7	Foot
2	7	3	Foot
3	7	4	Foot
4	7	5	Foot
5	7	6	Foot
6	7	6	Foot
7	7	7	Foot
8	7	3	Foot
9	7	3	Foot
10	7	4	Foot
11	7	3	Foot
12	7	6	Foot
13	7	4	Foot
14	7	4	Foot
15	7	5	Foot
16	7	5	Foot
17	7	3	Foot
18	7	5	Foot
19	7	4	Foot
20	7	6	Foot
21	7	4	Foot
22	7	8	Foot
23	7	8	Foot
24	7	4	Foot
25	7	7	Foot
26	7	5	Foot
27	7	4	Foot
28	7	5	Foot
29	7	7	Foot
30	7	3	Foot
31	7	4	Foot
1	8	6	Foot
2	8	8	Foot
3	8	5	Foot
4	8	7	Foot
5	8	7	Foot
6	8	4	Foot
7	8	3	Foot
8	8	4	Foot
9	8	4	Foot
10	8	6	Foot
11	8	3	Foot
12	8	8	Foot
13	8	4	Foot
14	8	4	Foot
15	8	8	Foot
16	8	7	Foot
17	8	8	Foot
18	8	3	Foot
19	8	5	Foot
20	8	7	Foot
21	8	5	Foot
22	8	3	Foot
23	8	6	Foot
24	8	4	Foot
25	8	3	Foot
26	8	6	Foot
27	8	3	Foot
28	8	5	Foot
29	8	6	Foot
30	8	3	Foot
31	8	7	Foot
1	9	4	Foot
2	9	6	Foot
3	9	8	Foot
4	9	5	Foot
5	9	6	Foot
6	9	6	Foot
7	9	5	Foot
8	9	6	Foot
9	9	8	Foot
10	9	5	Foot
11	9	4	Foot
12	9	8	Foot
13	9	8	Foot
14	9	7	Foot
15	9	8	Foot
16	9	6	Foot
17	9	6	Foot
18	9	4	Foot
19	9	8	Foot
20	9	4	Foot
21	9	8	Foot
22	9	3	Foot
23	9	7	Foot
24	9	5	Foot
25	9	5	Foot
26	9	4	Foot
27	9	5	Foot
28	9	6	Foot
29	9	3	Foot
30	9	6	Foot
31	9	7	Foot
1	10	3	Foot
2	10	8	Foot
3	10	6	Foot
4	10	8	Foot
5	10	3	Foot
6	10	7	Foot
7	10	3	Foot
8	10	4	Foot
9	10	4	Foot
10	10	4	Foot
11	10	3	Foot
12	10	5	Foot
13	10	8	Foot
14	10	8	Foot
15	10	5	Foot
16	10	8	Foot
17	10	5	Foot
18	10	5	Foot
19	10	4	Foot
20	10	5	Foot
21	10	4	Foot
22	10	3	Foot
23	10	8	Foot
24	10	5	Foot
25	10	7	Foot
26	10	6	Foot
27	10	5	Foot
28	10	7	Foot
29	10	3	Foot
30	10	7	Foot
31	10	3	Foot
1	11	5	Foot
2	11	4	Foot
3	11	5	Foot
4	11	3	Foot
5	11	7	Foot
6	11	8	Foot
7	11	7	Foot
