Day	Month	Appointment	Subspecialty
1	1	3	Hand
2	1	6	Hand
3	1	7	Hand
4	1	5	Hand
5	1	8	Hand
6	1	7	Hand
7	1	7	Hand
8	1	3	Hand
9	1	4	Hand
10	1	7	Hand
11	1	5	Hand
12	1	6	Hand
13	1	3	Hand
14	1	5	Hand
15	1	6	Hand
16	1	6	Hand
17	1	7	Hand
18	1	3	Hand
19	1	8	Hand
20	1	4	Hand
21	1	8	Hand
22	1	5	Hand
23	1	6	Hand
24	1	7	Hand
25	1	3	Hand
26	1	5	Hand
27	1	7	Hand
28	1	3	Hand
29	1	7	Hand
30	1	3	Hand
31	1	5	Hand
1	2	3	Hand
2	2	8	Hand
3	2	7	Hand
4	2	4	Hand
5	2	5	Hand
6	2	7	Hand
7	2	5	Hand
8	2	3	Hand
9	2	5	Hand
10	2	5	Hand
11	2	8	Hand
12	2	6	Hand
13	2	6	Hand
14	2	3	Hand
15	2	8	Hand
16	2	7	Hand
17	2	3	Hand
18	2	8	Hand
19	2	3	Hand
20	2	3	Hand
21	2	4	Hand
22	2	3	Hand
23	2	5	Hand
24	2	5	Hand
25	2	6	Hand
26	2	4	Hand
27	2	6	Hand
28	2	4	Hand
29	2	3	Hand
30	2	8	Hand
31	2	5	Hand
1	3	8	Hand
2	3	6	Hand
3	3	5	Hand
4	3	5	Hand
5	3	4	Hand
6	3	5	Hand
7	3	3	Hand
8	3	4	Hand
9	3	4	Hand
10	3	5	Hand
11	3	3	Hand
12	3	3	Hand
13	3	8	Hand
14	3	7	Hand
15	3	5	Hand
16	3	3	Hand
17	3	7	Hand
18	3	7	Hand
19	3	5	Hand
20	3	5	Hand
21	3	3	Hand
22	3	6	Hand
23	3	5	Hand
24	3	5	Hand
25	3	3	Hand
26	3	8	Hand
27	3	4	Hand
28	3	3	Hand
29	3	4	Hand
30	3	6	Hand
31	3	7	Hand
1	4	5	Hand
2	4	5	Hand
3	4	5	Hand
4	4	3	Hand
5	4	5	Hand
6	4	4	Hand
7	4	6	Hand
8	4	7	Hand
9	4	5	Hand
10	4	7	Hand
11	4	3	Hand
12	4	7	Hand
13	4	4	Hand
14	4	5	Hand
15	4	3	Hand
16	4	4	Hand
17	4	8	Hand
18	4	4	Hand
19	4	8	Hand
20	4	3	Hand
21	4	8	Hand
22	4	5	Hand
23	4	7	Hand
24	4	6	Hand
25	4	8	Hand
26	4	7	Hand
27	4	8	Hand
28	4	7	Hand
29	4	3	Hand
30	4	5	Hand
31	4	7	Hand
1	5	6	Hand
2	5	4	Hand
3	5	8	Hand
4	5	4	Hand
5	5	7	Hand
6	5	3	Hand
7	5	5	Hand
8	5	6	Hand
9	5	5	Hand
10	5	7	Hand
11	5	7	Hand
12	5	6	Hand
13	5	4	Hand
14	5	6	Hand
15	5	4	Hand
16	5	6	Hand
17	5	8	Hand
18	5	5	Hand
19	5	4	Hand
20	5	8	Hand
21	5	4	Hand
22	5	5	Hand
23	5	4	Hand
24	5	7	Hand
25	5	8	Hand
26	5	7	Hand
27	5	3	Hand
28	5	5	Hand
29	5	7	Hand
30	5	8	Hand
31	5	5	Hand
1	6	8	Hand
2	6	5	Hand
3	6	7	Hand
4	6	8	Hand
5	6	3	Hand
6	6	3	Hand
7	6	8	Hand
8	6	6	Hand
9	6	6	Hand
10	6	3	Hand
11	6	4	Hand
12	6	7	Hand
13	6	8	Hand
14	6	3	Hand
15	6	8	Hand
16	6	8	Hand
17	6	3	Hand
18	6	4	Hand
19	6	5	Hand
20	6	8	Hand
21	6	5	Hand
22	6	3	Hand
23	6	6	Hand
24	6	8	Hand
25	6	7	Hand
26	6	6	Hand
27	6	5	Hand
28	6	8	Hand
29	6	7	Hand
30	6	6	Hand
31	6	4	Hand
1	7	3	Hand
2	7	8	Hand
3	7	7	Hand
4	7	6	Hand
5	7	3	Hand
6	7	8	Hand
7	7	5	Hand
8	7	5	Hand
9	7	3	Hand
10	7	7	Hand
11	7	7	Hand
12	7	8	Hand
13	7	6	Hand
14	7	4	Hand
15	7	6	Hand
16	7	7	Hand
17	7	5	Hand
18	7	4	Hand
19	7	7	Hand
20	7	4	Hand
21	7	3	Hand
22	7	5	Hand
23	7	8	Hand
24	7	4	Hand
25	7	8	Hand
26	7	6	Hand
27	7	5	Hand
28	7	8	Hand
29	7	8	Hand
30	7	4	Hand
31	7	7	Hand
1	8	8	Hand
2	8	4	Hand
3	8	4	Hand
4	8	8	Hand
5	8	4	Hand
6	8	6	Hand
7	8	5	Hand
8	8	3	Hand
9	8	5	Hand
10	8	3	Hand
11	8	4	Hand
12	8	4	Hand
13	8	3	Hand
14	8	8	Hand
15	8	8	Hand
16	8	7	Hand
17	8	4	Hand
18	8	6	Hand
19	8	4	Hand
20	8	6	Hand
21	8	4	Hand
22	8	3	Hand
23	8	6	Hand
24	8	8	Hand
25	8	3	Hand
26	8	6	Hand
27	8	8	Hand
28	8	7	Hand
29	8	3	Hand
30	8	5	Hand
31	8	7	Hand
1	9	5	Hand
2	9	3	Hand
3	9	4	Hand
4	9	8	Hand
5	9	8	Hand
6	9	4	Hand
7	9	5	Hand
8	9	4	Hand
9	9	7	Hand
10	9	6	Hand
11	9	5	Hand
12	9	7	Hand
13	9	8	Hand
14	9	5	Hand
15	9	7	Hand
16	9	7	Hand
17	9	6	Hand
18	9	6	Hand
19	9	5	Hand
20	9	5	Hand
21	9	3	Hand
22	9	3	Hand
