Day	Month	Appointment	Subspecialty
1	1	8	Sports
2	1	5	Sports
3	1	3	Sports
4	1	3	Sports
5	1	5	Sports
6	1	7	Sports
7	1	4	Sports
8	1	8	Sports
9	1	8	Sports
10	1	8	Sports
11	1	4	Sports
12	1	7	Sports
13	1	3	Sports
14	1	3	Sports
15	1	4	Sports
16	1	7	Sports
17	1	5	Sports
18	1	5	Sports
19	1	8	Sports
20	1	4	Sports
21	1	5	Sports
22	1	5	Sports
23	1	5	Sports
24	1	3	Sports
25	1	7	Sports
26	1	5	Sports
27	1	4	Sports
28	1	8	Sports
29	1	6	Sports
30	1	4	Sports
31	1	6	Sports
1	2	4	Sports
2	2	3	Sports
3	2	3	Sports
4	2	4	Sports
5	2	4	Sports
6	2	4	Sports
7	2	3	Sports
8	2	5	Sports
9	2	3	Sports
10	2	5	Sports
11	2	5	Sports
12	2	4	Sports
13	2	4	Sports
14	2	4	Sports
15	2	5	Sports
16	2	8	Sports
17	2	6	Sports
18	2	3	Sports
19	2	5	Sports
20	2	5	Sports
21	2	5	Sports
22	2	7	Sports
23	2	4	Sports
24	2	8	Sports
25	2	7	Sports
26	2	4	Sports
27	2	5	Sports
28	2	7	Sports
29	2	8	Sports
30	2	4	Sports
31	2	5	Sports
1	3	3	Sports
2	3	5	Sports
3	3	4	Sports
4	3	3	Sports
5	3	7	Sports
6	3	4	Sports
7	3	5	Sports
8	3	4	Sports
9	3	4	Sports
10	3	4	Sports
11	3	7	Sports
12	3	4	Sports
13	3	3	Sports
14	3	7	Sports
15	3	5	Sports
16	3	3	Sports
17	3	5	Sports
18	3	7	Sports
19	3	3	Sports
20	3	6	Sports
21	3	5	Sports
22	3	8	Sports
23	3	5	Sports
24	3	3	Sports
25	3	6	Sports
26	3	7	Sports
27	3	8	Sports
28	3	7	Sports
29	3	8	Sports
30	3	3	Sports
31	3	3	Sports
1	4	4	Sports
2	4	4	Sports
3	4	3	Sports
4	4	3	Sports
5	4	8	Sports
6	4	7	Sports
7	4	5	Sports
8	4	8	Sports
9	4	3	Sports
10	4	3	Sports
11	4	4	Sports
12	4	7	Sports
13	4	6	Sports
14	4	8	Sports
15	4	6	Sports
16	4	7	Sports
17	4	5	Sports
18	4	7	Sports
19	4	7	Sports
20	4	6	Sports
21	4	3	Sports
22	4	3	Sports
23	4	6	Sports
24	4	3	Sports
25	4	4	Sports
26	4	8	Sports
27	4	4	Sports
28	4	6	Sports
29	4	5	Sports
30	4	4	Sports
31	4	3	Sports
1	5	7	Sports
2	5	7	Sports
3	5	8	Sports
4	5	4	Sports
5	5	7	Sports
6	5	3	Sports
7	5	6	Sports
8	5	5	Sports
9	5	7	Sports
10	5	7	Sports
11	5	7	Sports
