Day	Month	Appointment	Subspecialty
1	1	6	Trauma
2	1	8	Trauma
3	1	6	Trauma
4	1	3	Trauma
5	1	6	Trauma
6	1	6	Trauma
7	1	7	Trauma
8	1	6	Trauma
9	1	5	Trauma
10	1	6	Trauma
11	1	4	Trauma
12	1	3	Trauma
13	1	4	Trauma
14	1	3	Trauma
15	1	4	Trauma
16	1	7	Trauma
17	1	4	Trauma
18	1	8	Trauma
19	1	5	Trauma
20	1	8	Trauma
21	1	7	Trauma
22	1	8	Trauma
23	1	5	Trauma
24	1	6	Trauma
25	1	6	Trauma
26	1	4	Trauma
27	1	3	Trauma
28	1	3	Trauma
29	1	8	Trauma
30	1	5	Trauma
31	1	8	Trauma
1	2	8	Trauma
2	2	7	Trauma
3	2	7	Trauma
4	2	8	Trauma
5	2	6	Trauma
6	2	3	Trauma
7	2	5	Trauma
8	2	5	Trauma
9	2	4	Trauma
10	2	7	Trauma
11	2	4	Trauma
12	2	6	Trauma
13	2	7	Trauma
14	2	8	Trauma
15	2	6	Trauma
16	2	7	Trauma
17	2	5	Trauma
18	2	6	Trauma
19	2	3	Trauma
20	2	8	Trauma
21	2	3	Trauma
22	2	7	Trauma
23	2	8	Trauma
24	2	6	Trauma
25	2	8	Trauma
26	2	5	Trauma
27	2	7	Trauma
28	2	5	Trauma
29	2	8	Trauma
30	2	5	Trauma
31	2	6	Trauma
1	3	8	Trauma
2	3	7	Trauma
3	3	5	Trauma
4	3	5	Trauma
5	3	7	Trauma
6	3	4	Trauma
7	3	7	Trauma
8	3	6	Trauma
9	3	3	Trauma
10	3	8	Trauma
11	3	3	Trauma
12	3	8	Trauma
13	3	6	Trauma
14	3	8	Trauma
15	3	4	Trauma
16	3	7	Trauma
17	3	5	Trauma
18	3	5	Trauma
19	3	6	Trauma
20	3	7	Trauma
21	3	4	Trauma
22	3	5	Trauma
23	3	7	Trauma
24	3	7	Trauma
25	3	5	Trauma
26	3	7	Trauma
27	3	3	Trauma
28	3	6	Trauma
29	3	5	Trauma
30	3	4	Trauma
31	3	5	Trauma
1	4	3	Trauma
2	4	4	Trauma
3	4	3	Trauma
4	4	5	Trauma
5	4	6	Trauma
6	4	6	Trauma
7	4	3	Trauma
8	4	8	Trauma
9	4	6	Trauma
10	4	6	Trauma
11	4	3	Trauma
12	4	7	Trauma
13	4	8	Trauma
14	4	4	Trauma
15	4	3	Trauma
16	4	6	Trauma
17	4	6	Trauma
18	4	8	Trauma
19	4	7	Trauma
20	4	7	Trauma
21	4	8	Trauma
22	4	8	Trauma
23	4	8	Trauma
24	4	5	Trauma
25	4	7	Trauma
26	4	8	Trauma
27	4	4	Trauma
28	4	8	Trauma
29	4	8	Trauma
30	4	4	Trauma
31	4	7	Trauma
1	5	8	Trauma
2	5	4	Trauma
3	5	5	Trauma
4	5	6	Trauma
5	5	8	Trauma
6	5	5	Trauma
7	5	3	Trauma
8	5	8	Trauma
9	5	8	Trauma
10	5	6	Trauma
11	5	8	Trauma
12	5	8	Trauma
13	5	8	Trauma
14	5	8	Trauma
15	5	4	Trauma
16	5	8	Trauma
17	5	8	Trauma
18	5	8	Trauma
19	5	3	Trauma
20	5	3	Trauma
21	5	7	Trauma
22	5	5	Trauma
