Mth,Clinic ,Subspecilty,Feedback Type,Comments,,,,,,,
2/1/2013,A,Sports,Complain,Registration Receptionist Long No,,,,,,,
23/1/2013,B,Sports,Complain,Cleanliness Slow Dirty Slow No Disrespect,,,,,,,
13/1/2013,A,Trauma,Complain,Reschedule Disrespect,,,,,,,
9/1/2013,B,Sports,Compliment,Facilities Facilities Brightness Brightness Ward Short Clean Clean,,,,,,,
24/1/2013,A,Hand,Complain,Ward Bed Bad No,,,,,,,
6/1/2013,A,Trauma,Compliment,Queue Receptionist Clean,,,,,,,
9/1/2013,B,Foot,Compliment,Bed Bed Facilities Ward Brightness Clean Good Patient Good Helpful Short,,,,,,,
21/1/2013,A,Foot,Complain,Concern Operation Procedure Operation Nurse Bad Disrespect Bad Slow Dirty,,,,,,,
7/1/2013,A,Trauma,Compliment,Doctor Care Short Fast Fast Good,,,,,,,
8/1/2013,B,Trauma,Compliment,Doctor Patient Good Short Fast Short Clean,,,,,,,
22/1/2013,A,Hand,Complain,Doctor Doctor Concern Nurse Procedure Procedure Slow Disrespect Long,,,,,,,
16/1/2013,A,Foot,Complain,Care No Dirty Slow Long Bad,,,,,,,
7/1/2013,B,Sports,Compliment,Procedure Care Concern Nurse Doctor Concern Patient Fast Helpful Helpful Clean Good,,,,,,,
5/1/2013,A,Foot,Compliment,Ward Brightness Ward Brightness Facilities Brightness Good Short,,,,,,,
28/1/2013,A,Hand,Complain,Receptionist Receptionist Registration Receptionist Disrespect Slow Bad Dirty Dirty Disrespect,,,,,,,
29/1/2013,A,Sports,Compliment,Direction Visiting Clean Short Short,,,,,,,
19/1/2013,B,Trauma,Compliment,Visiting Registration Queue Receptionist Visiting Short Short Short Patient Clean Fast,,,,,,,
15/2/2013,A,Sports,Complain,Cancellation Venue Appointment Check-up Booking Venue Bad,,,,,,,
1/3/2013,A,Sports,Compliment,Visiting Hours Visiting Hours Short Short Clean Patient Good,,,,,,,
26/2/2013,A,Sports,Complain,Nurse Care Slow No Disrespect,,,,,,,
18/2/2013,A,Foot,Complain,Care Operation Operation Bad No Long No,,,,,,,
24/2/2013,B,Hand,Complain,Care Nurse Nurse Procedure Concern Care Disrespect Dirty Dirty,,,,,,,
1/3/2013,B,Foot,Compliment,Appointment Check-up Check-up Reschedule Reschedule Patient Good Patient,,,,,,,
6/2/2013,A,Sports,Complain,Ward Ward Room Facilities Bad Disrespect Long Dirty,,,,,,,
18/2/2013,A,Sports,Complain,Cleanliness Bad Dirty No No,,,,,,,
23/2/2013,A,Sports,Complain,Bed Room Ward Brightness Facilities Bed No No Dirty Long,,,,,,,
22/2/2013,A,Trauma,Compliment,Direction Receptionist Receptionist Queue Receptionist Receptionist Clean,,,,,,,
17/2/2013,B,Foot,Complain,Operation Dirty No Slow Dirty Bad,,,,,,,
1/2/2013,B,Trauma,Complain,Doctor Concern Care Concern Operation Dirty Bad Dirty,,,,,,,
25/2/2013,A,Foot,Compliment,Booking Booking Cancellation Check-up Short Clean Short,,,,,,,
22/2/2013,A,Hand,Complain,Appointment Long Long Long,,,,,,,
9/3/2013,B,Sports,Complain,Reschedule Long Bad Disrespect Long,,,,,,,
7/3/2013,B,Foot,Complain,Direction Dirty Bad Long Bad Long,,,,,,,
17/3/2013,B,Sports,Complain,Facilities Ward Brightness Cleanliness Bed Ward No,,,,,,,
11/3/2013,A,Trauma,Complain,Receptionist Direction Registration Bad No No Long,,,,,,,
22/3/2013,A,Foot,Complain,Direction Hours Queue Registration Receptionist Queue Long,,,,,,,
23/3/2013,B,Trauma,Compliment,Hours Direction Hours Registration Queue Fast Short Patient,,,,,,,
1/3/2013,A,Sports,Compliment,Booking Check-up Reschedule Booking Booking Venue Short Short,,,,,,,
1/3/2013,B,Sports,Compliment,Venue Cancellation Venue Fast Patient Helpful,,,,,,,
5/3/2013,B,Hand,Compliment,Procedure Concern Good Short Clean Helpful Short,,,,,,,
6/3/2013,B,Trauma,Compliment,Receptionist Hours Visiting Registration Direction Receptionist Helpful Fast Fast Helpful Helpful,,,,,,,
21/3/2013,B,Sports,Compliment,Facilities Short Patient Helpful Helpful,,,,,,,
7/3/2013,A,Hand,Compliment,Room Short Patient Fast Fast Patient,,,,,,,
1/4/2013,B,Foot,Complain,Venue Reschedule Reschedule Bad,,,,,,,
29/3/2013,A,Trauma,Compliment,Queue Direction Hours Receptionist Short,,,,,,,
